,id,deviceName,eventName,startTime,endTime,duration,totalProduction,productionAtStart,productionAtEnd,Status,speed,orderId,stopId,timestamp
0,0,MiraFlex 1,Stop,2024-02-01 00:00:15,2024-02-01 00:06:15,0 days 00:06:00,42.0,77052.0,77094.0,0,,496,3709,02/01/2024 00:06:15
1,1,MiraFlex 1,Running,2024-02-01 00:06:15,2024-02-01 00:08:55,0 days 00:02:40,1631985477.0,77094.0,1632062571.0,1,,496,0,02/01/2024 00:08:55
2,2,MiraFlex 1,Stop,2024-02-01 00:08:55,2024-02-01 00:19:16,0 days 00:10:21,-1631984507.0,1632062571.0,78064.0,0,,496,3710,02/01/2024 00:19:16
3,3,MiraFlex 1,Running,2024-02-01 00:19:16,2024-02-01 00:20:35,0 days 00:01:19,410.0,78064.0,78474.0,1,,496,0,02/01/2024 00:20:35
4,4,MiraFlex 1,Stop,2024-02-01 00:20:35,2024-02-01 00:28:35,0 days 00:08:00,20.0,78474.0,78494.0,0,,496,3711,02/01/2024 00:28:35
5,5,MiraFlex 1,Running,2024-02-01 00:28:35,2024-02-01 00:30:15,0 days 00:01:40,313.0,78494.0,78807.0,1,,496,0,02/01/2024 00:30:15
6,6,MiraFlex 1,Stop,2024-02-01 00:30:15,2024-02-01 01:31:35,0 days 01:01:20,19.0,78807.0,78826.0,0,,496,3712,02/01/2024 01:31:35
7,7,MiraFlex 1,Running,2024-02-01 01:31:35,2024-02-01 01:32:55,0 days 00:01:20,78.0,78826.0,78904.0,1,,496,0,02/01/2024 01:32:55
8,8,MiraFlex 1,Stop,2024-02-01 01:32:55,2024-02-01 01:36:15,0 days 00:03:20,7.0,78904.0,78911.0,0,,496,3713,02/01/2024 01:36:15
9,9,MiraFlex 1,Running,2024-02-01 01:36:15,2024-02-01 01:36:55,0 days 00:00:40,37.0,78911.0,78948.0,1,,496,0,02/01/2024 01:36:55
10,10,MiraFlex 1,Stop,2024-02-01 01:36:55,2024-02-01 01:37:55,0 days 00:01:00,24.0,78948.0,78972.0,0,,496,3714,02/01/2024 01:37:55
11,11,MiraFlex 1,Running,2024-02-01 01:37:55,2024-02-01 01:39:35,0 days 00:01:40,285.0,78972.0,79257.0,1,,496,0,02/01/2024 01:39:35
12,12,MiraFlex 1,Stop,2024-02-01 01:39:35,2024-02-01 01:49:15,0 days 00:09:40,53.0,79257.0,79310.0,0,,496,3715,02/01/2024 01:49:15
13,13,MiraFlex 1,Running,2024-02-01 01:49:15,2024-02-01 01:52:15,0 days 00:03:00,1139.0,79310.0,80449.0,1,,496,0,02/01/2024 01:52:15
14,14,MiraFlex 1,Stop,2024-02-01 01:52:15,2024-02-01 01:54:15,0 days 00:02:00,18.0,80449.0,80467.0,0,,496,3716,02/01/2024 01:54:15
15,15,MiraFlex 1,Running,2024-02-01 01:54:15,2024-02-01 02:08:15,0 days 00:14:00,5556.0,80467.0,86023.0,1,,496,0,02/01/2024 02:08:15
16,16,MiraFlex 1,Stop,2024-02-01 02:08:15,2024-02-01 02:13:55,0 days 00:05:40,9.0,86023.0,86032.0,0,,496,3717,02/01/2024 02:13:55
17,17,MiraFlex 1,Running,2024-02-01 02:13:55,2024-02-01 02:31:35,0 days 00:17:40,6962.0,86032.0,92994.0,1,,496,0,02/01/2024 02:31:35
18,18,MiraFlex 1,Stop,2024-02-01 02:31:35,2024-02-01 03:17:15,0 days 00:45:40,18.0,92994.0,93012.0,0,,496,3718,02/01/2024 03:17:15
19,19,MiraFlex 1,Running,2024-02-01 03:17:15,2024-02-01 03:17:35,0 days 00:00:20,12.0,93012.0,93024.0,1,,496,0,02/01/2024 03:17:35
20,20,MiraFlex 1,Stop,2024-02-01 03:17:35,2024-02-01 03:21:15,0 days 00:03:40,30.0,93024.0,93054.0,0,,496,3719,02/01/2024 03:21:15
21,21,MiraFlex 1,Running,2024-02-01 03:21:15,2024-02-01 03:23:15,0 days 00:02:00,295.0,93054.0,93349.0,1,,496,0,02/01/2024 03:23:15
22,22,MiraFlex 1,Stop,2024-02-01 03:23:15,2024-02-01 03:36:15,0 days 00:13:00,34.0,93349.0,93383.0,0,,496,3720,02/01/2024 03:36:15
23,23,MiraFlex 1,Running,2024-02-01 03:36:15,2024-02-01 03:36:55,0 days 00:00:40,122.0,93383.0,93505.0,1,,496,0,02/01/2024 03:36:55
24,24,MiraFlex 1,Stop,2024-02-01 03:36:55,2024-02-01 03:44:55,0 days 00:08:00,105.0,93505.0,93610.0,0,,496,3721,02/01/2024 03:44:55
25,25,MiraFlex 1,Running,2024-02-01 03:44:55,2024-02-01 03:51:55,0 days 00:07:00,2676.0,93610.0,96286.0,1,,496,0,02/01/2024 03:51:55
26,26,MiraFlex 1,Stop,2024-02-01 03:51:55,2024-02-01 04:10:17,0 days 00:18:22,16.0,96286.0,96302.0,0,,496,3722,02/01/2024 04:10:17
27,27,MiraFlex 1,Running,2024-02-01 04:10:17,2024-02-01 04:12:36,0 days 00:02:19,481.0,96302.0,96783.0,1,,496,0,02/01/2024 04:12:36
28,28,MiraFlex 1,Stop,2024-02-01 04:12:36,2024-02-01 04:19:56,0 days 00:07:20,78.0,96783.0,96861.0,0,,496,3723,02/01/2024 04:19:56
29,29,MiraFlex 1,Running,2024-02-01 04:19:56,2024-02-01 04:24:36,0 days 00:04:40,1806.0,96861.0,98667.0,1,,496,0,02/01/2024 04:24:36
30,30,MiraFlex 1,Stop,2024-02-01 04:24:36,2024-02-01 04:42:55,0 days 00:18:19,16.0,98667.0,98683.0,0,,496,3724,02/01/2024 04:42:55
31,31,MiraFlex 1,Running,2024-02-01 04:42:55,2024-02-01 04:50:56,0 days 00:08:01,3174.0,98683.0,101857.0,1,,496,0,02/01/2024 04:50:56
32,32,MiraFlex 1,Stop,2024-02-01 04:50:56,2024-02-01 04:54:55,0 days 00:03:59,12.0,101857.0,101869.0,0,,496,3725,02/01/2024 04:54:55
33,33,MiraFlex 1,Running,2024-02-01 04:54:55,2024-02-01 05:03:56,0 days 00:09:01,3516.0,101869.0,105385.0,1,,496,0,02/01/2024 05:03:56
34,34,MiraFlex 1,Stop,2024-02-01 05:03:56,2024-02-01 05:05:55,0 days 00:01:59,42.0,105385.0,105427.0,0,,496,3726,02/01/2024 05:05:55
35,35,MiraFlex 1,Running,2024-02-01 05:05:55,2024-02-01 05:11:35,0 days 00:05:40,2142.0,105427.0,107569.0,1,,496,0,02/01/2024 05:11:35
36,36,MiraFlex 1,Stop,2024-02-01 05:11:35,2024-02-01 06:11:40,0 days 01:00:05,26.0,107569.0,107595.0,0,,496,3727,02/01/2024 06:11:40
37,37,MiraFlex 1,Running,2024-02-01 06:11:40,2024-02-01 06:12:00,0 days 00:00:20,5.0,107595.0,107600.0,1,,496,0,02/01/2024 06:12:00
38,38,MiraFlex 1,Stop,2024-02-01 06:12:00,2024-02-01 06:16:00,0 days 00:04:00,33.0,107600.0,107633.0,0,,496,3728,02/01/2024 06:16:00
39,39,MiraFlex 1,Running,2024-02-01 06:16:00,2024-02-01 06:18:00,0 days 00:02:00,301.0,107633.0,107934.0,1,,496,0,02/01/2024 06:18:00
40,40,MiraFlex 1,Stop,2024-02-01 06:18:00,2024-02-01 06:28:47,0 days 00:10:47,7.0,107934.0,107941.0,0,,496,3729,02/01/2024 06:28:47
41,41,MiraFlex 1,Running,2024-02-01 06:28:47,2024-02-01 06:31:16,0 days 00:02:29,240.0,107941.0,108181.0,1,,496,0,02/01/2024 06:31:16
42,42,MiraFlex 1,Stop,2024-02-01 06:31:16,2024-02-01 06:50:18,0 days 00:19:02,13.0,108181.0,108194.0,0,,496,3730,02/01/2024 06:50:18
43,43,MiraFlex 1,Running,2024-02-01 06:50:18,2024-02-01 06:51:40,0 days 00:01:22,212.0,108194.0,108406.0,1,,496,0,02/01/2024 06:51:40
44,44,MiraFlex 1,Stop,2024-02-01 06:51:40,2024-02-01 07:48:57,0 days 00:57:17,7.0,108406.0,108413.0,0,,496,0,02/01/2024 07:48:57
45,45,MiraFlex 1,Running,2024-02-01 07:48:57,2024-02-01 07:49:36,0 days 00:00:39,149.0,108413.0,108562.0,1,,496,0,02/01/2024 07:49:36
46,46,MiraFlex 1,Stop,2024-02-01 07:49:36,2024-02-01 07:56:16,0 days 00:06:40,12.0,108562.0,108574.0,0,,496,3696,02/01/2024 07:56:16
