,id,startTime,endTime,downtime,orderStart,orderEnd,stopUpdatedTime,stopUpdatedBy,categoryName,causeOne,causeTwo,causeThree,causeFour,causeFive,childDeviceName,deviceName,shiftName,shiftStartTime,shiftEndTime,deviceDataId,orderId,mainStopId,skuName,comment,reasonOne,reasonTwo,Status
0,0,,,550,12/21/2023 12:48:18,12/21/2023 13:58:59,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,325,,Material 1 (Speed 400),,,,
1,1,,,0,12/21/2023 13:59:09,12/21/2023 13:59:58,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,326,,Material 1 (Speed 400),,,,
2,2,,,300,12/21/2023 13:25:08,12/21/2023 13:54:49,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,327,,Materail 2 (Speed 350),,,,
3,3,,,0,12/21/2023 13:54:59,12/21/2023 13:55:28,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,328,,Materail 2 (Speed 350),,,,
4,4,,,1540,12/27/2023 14:00:26,12/27/2023 14:59:56,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,329,,Materail 2 (Speed 350),,,,
5,5,,,6320,12/27/2023 15:00:06,12/27/2023 18:12:22,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,330,,Materail 2 (Speed 350),,,,
6,6,,,0,12/27/2023 15:24:21,12/27/2023 15:29:50,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,331,,,,,,
7,7,,,0,12/27/2023 18:11:36,12/27/2023 18:11:46,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,332,,,,,,
8,8,,,3852,12/28/2023 15:54:40,12/28/2023 18:52:25,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,333,,Materail 2 (Speed 350),,,,
9,9,,,0,12/28/2023 18:52:35,12/28/2023 19:04:34,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,334,,Materail 2 (Speed 350),,,,
10,10,,,35,12/28/2023 19:04:45,12/28/2023 19:27:25,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,335,,Material 1 (Speed 400),,,,
11,11,,,0,12/28/2023 19:27:36,12/28/2023 20:09:15,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,336,,Material 1 (Speed 400),,,,
12,12,,,5658,12/30/2023 10:08:57,12/30/2023 14:14:11,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,337,,Materail 2 (Speed 350),,,,
13,13,,,0,12/30/2023 14:14:21,12/30/2023 14:15:40,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,338,,Materail 2 (Speed 350),,,,
14,14,,,114,12/30/2023 14:15:51,12/30/2023 14:59:59,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,339,,Materail 2 (Speed 350),,,,
15,15,,,2680,12/30/2023 15:00:09,12/30/2023 17:23:10,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,340,,Materail 2 (Speed 350),,,,
16,16,,,0,12/30/2023 17:23:21,12/30/2023 17:53:09,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,341,,Materail 2 (Speed 350),,,,
17,17,,,19294,02/01/2024 00:00:15,02/01/2024 06:59:56,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,416,,PET (400),,,,
18,18,,,17607,02/01/2024 07:00:19,02/01/2024 14:59:50,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,417,,PET (400),,,,
19,19,,,20089,02/01/2024 15:00:09,02/01/2024 22:59:43,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,418,,PET (400),,,,
20,20,,,0,02/01/2024 23:00:03,02/02/2024 06:59:59,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,419,,PET (400),,,,
21,21,,,26774,02/02/2024 07:00:18,02/02/2024 14:53:41,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,420,,PET (400),,,,
22,22,,,14138,02/02/2024 15:14:39,02/02/2024 22:59:53,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,421,,PET (400),,,,
23,23,,,25134,02/03/2024 07:00:17,02/03/2024 14:59:50,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,422,,PET (400),,,,
24,24,,,21234,02/03/2024 07:00:17,02/03/2024 14:59:50,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,423,,PET (400),,,,
25,25,,,0,02/03/2024 15:00:10,02/03/2024 22:59:54,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,424,,PET (400),,,,
26,26,,,0,02/03/2024 23:00:14,02/03/2024 23:18:30,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,425,,PET (400),,,,
27,27,,,25315,02/06/2024 07:50:26,02/06/2024 14:56:06,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,426,,PET (400),,,,
28,28,,,18251,02/06/2024 15:33:27,02/06/2024 22:59:47,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,428,,PET (400),,,,
29,29,,,9918,02/06/2024 23:00:08,02/07/2024 02:13:41,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,430,,PET (400),,,,
30,30,,,0,02/07/2024 02:13:41,02/07/2024 02:13:41,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,431,,PET (400),,,,
31,31,,,13053,02/07/2024 10:02:40,02/07/2024 14:59:47,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,432,,PET (400),,,,
32,32,,,16231,02/07/2024 15:00:13,02/07/2024 22:59:48,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,433,,PET (400),,,,
33,33,,,0,02/08/2024 07:00:14,02/08/2024 07:05:22,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,434,,PET (400),,,,
34,34,,,0,02/08/2024 07:00:14,02/08/2024 07:05:22,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,435,,PET (400),,,,
35,35,,,9641,02/12/2024 18:52:16,02/12/2024 22:59:48,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,436,,PET (400),,,,
36,36,,,15100,02/12/2024 23:00:09,02/13/2024 06:59:42,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,437,,PET (400),,,,
37,37,,,18762,02/13/2024 07:00:04,02/13/2024 14:59:57,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,438,,PET (400),,,,
38,38,,,14035,02/13/2024 15:00:18,02/13/2024 22:59:35,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,439,,PET (400),,,,
39,39,,,20157,02/13/2024 23:00:00,02/14/2024 06:59:49,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,440,,PET (400),,,,
40,40,,,9227,02/14/2024 07:00:14,02/14/2024 10:41:39,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,441,,PET (400),,,,
41,41,,,0,02/14/2024 10:42:03,02/14/2024 10:42:03,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,442,,PET (400),,,,
42,42,,,9097,02/14/2024 10:42:24,02/14/2024 14:59:58,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,443,,PET (400),,,,
43,43,,,17155,02/14/2024 15:00:19,02/14/2024 22:59:40,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,444,,PET (400),,,,
44,44,,,18889,02/14/2024 23:00:01,02/15/2024 06:59:46,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,445,,PET (400),,,,
45,45,,,20700,02/15/2024 07:00:08,02/15/2024 14:21:12,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,446,,PET (400),,,,
46,46,,,0,02/15/2024 14:59:09,02/15/2024 14:59:51,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,448,,PET (400),,,,
47,47,,,18139,02/15/2024 15:00:12,02/15/2024 22:59:53,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,449,,PET (400),,,,
48,48,,,17709,02/15/2024 23:00:13,02/16/2024 06:59:59,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,450,,PET (400),,,,
49,49,,,16643,02/16/2024 07:00:26,02/16/2024 14:59:44,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,451,,PET (400),,,,
50,50,,,21458,02/16/2024 15:00:10,02/16/2024 22:59:58,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,452,,PET (400),,,,
51,51,,,0,02/17/2024 07:00:10,02/17/2024 11:56:25,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,453,,PET (400),,,,
52,52,,,0,02/17/2024 07:00:10,02/17/2024 11:56:25,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,454,,PET (400),,,,
53,53,,,5351,02/17/2024 12:39:48,02/17/2024 14:59:59,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,455,,PET (400),,,,
54,54,,,699,02/17/2024 15:00:20,02/17/2024 16:01:04,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,456,,PET (400),,,,
55,55,,,25069,02/17/2024 16:01:29,02/17/2024 22:59:39,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,457,,PET (400),,,,
56,56,,,0,02/17/2024 23:00:00,02/18/2024 03:29:48,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,458,,PET (400),,,,
57,57,,,12407,02/19/2024 08:54:35,02/19/2024 14:59:43,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,459,,PET (400),,,,
58,58,,,8764,02/19/2024 15:00:04,02/19/2024 22:59:56,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,460,,PET (400),,,,
59,59,,,12921,02/19/2024 23:00:16,02/20/2024 06:59:40,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,C,23:00:00,07:00:00,,461,,PET (400),,,,
60,60,,,22364,02/20/2024 07:00:00,02/20/2024 14:59:44,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,462,,PET (400),,,,
61,61,,,600,02/20/2024 15:00:04,02/20/2024 16:17:24,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,463,,PET (400),,,,
62,62,,,7501,02/20/2024 16:17:44,02/20/2024 19:30:26,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,464,,PET (400),,,,
63,63,,,40,02/20/2024 16:18:04,02/20/2024 17:24:45,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,465,,PET (400),,,,
64,64,,,3486,02/20/2024 17:27:25,02/20/2024 19:24:26,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,466,,PET (400),,,,
65,65,,,3426,02/20/2024 17:27:25,02/20/2024 19:24:26,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,467,,PET (400),,,,
66,66,,,0,02/20/2024 19:24:46,02/20/2024 19:25:06,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,468,,PET (400),,,,
67,67,,,0,02/20/2024 19:24:46,02/20/2024 19:25:06,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,469,,PET (400),,,,
68,68,,,3281,02/20/2024 19:30:46,02/20/2024 21:03:27,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,470,,PET(400),,,,
69,69,,,3301,02/20/2024 21:04:27,02/20/2024 22:59:48,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,471,,undefined,,,,
70,70,,,23623,02/21/2024 07:00:12,02/21/2024 14:59:56,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,A,07:00:00,15:00:00,,472,,undefined,,,,
71,71,,,18202,02/21/2024 15:00:16,02/21/2024 22:59:40,,,Unplanned,,,,,,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,,473,,undefined,,,,
