,startTime,endTime,downTime,deviceDataId,Status,orderStart,orderEnd,categoryName,deviceName,childDeviceName,shiftName,shiftStartTime,shiftEndTime,orderId,mainStopId,skuName
0,2024-02-01T15:00:09.000Z,2024-02-01T15:33:10.000Z,1981,348015,Completed,02/01/2024 15:00:09,02/01/2024 22:59:43,Unplanned,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,496,0,PET (400)
1,2024-02-01T15:40:31.000Z,2024-02-01T15:46:10.000Z,339,348136,Completed,02/01/2024 15:00:09,02/01/2024 22:59:43,Unplanned,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,496,0,PET (400)
2,2024-02-01T15:46:50.000Z,2024-02-01T16:07:11.000Z,1221,348155,Completed,02/01/2024 15:00:09,02/01/2024 22:59:43,Unplanned,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,496,0,PET (400)
3,2024-02-01T16:07:51.000Z,2024-02-01T16:09:30.000Z,99,348218,Completed,02/01/2024 15:00:09,02/01/2024 22:59:43,Unplanned,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,496,0,PET (400)
4,2024-02-01T16:10:30.000Z,2024-02-01T16:47:01.000Z,2191,348226,Completed,02/01/2024 15:00:09,02/01/2024 22:59:43,Unplanned,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,496,0,PET (400)
5,2024-02-01T16:53:00.000Z,2024-02-01T17:02:40.000Z,580,348350,Completed,02/01/2024 15:00:09,02/01/2024 22:59:43,Unplanned,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,496,0,PET (400)
6,2024-02-01T17:03:40.000Z,2024-02-01T17:09:01.000Z,321,348382,Completed,02/01/2024 15:00:09,02/01/2024 22:59:43,Unplanned,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,496,0,PET (400)
7,2024-02-01T17:09:41.000Z,2024-02-01T17:43:01.000Z,2000,348400,Completed,02/01/2024 15:00:09,02/01/2024 22:59:43,Unplanned,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,496,0,PET (400)
8,2024-02-01T17:45:41.000Z,2024-02-01T17:46:41.000Z,60,348508,Completed,02/01/2024 15:00:09,02/01/2024 22:59:43,Unplanned,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,496,0,PET (400)
9,2024-02-01T18:01:01.000Z,2024-02-01T18:10:41.000Z,580,348554,Completed,02/01/2024 15:00:09,02/01/2024 22:59:43,Unplanned,MiraFlex 1,MiraFlex 1,B,15:00:00,23:00:00,496,0,PET (400)
